id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36666,Mo's Cozy Casa w/ veranda & access to dock,157752,Monique,Belize,Belize Islands,17.74786,-88.02398,Entire home/apt,161,3,286,2022-03-27,2.07,4,177,34,
36690,Mo's Cozy Cabana w/ comfy veranda & access to dock,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,91,3,354,2022-03-24,2.50,4,159,37,
110483,Michelo's fuchsia suite,567809,Michel,Stann Creek,Stann Creek Mainland,16.52114,-88.36926,Hotel room,81,1,30,2022-02-24,0.28,3,349,3,
120115,Seaside Villas Second Floor Unit  #4,604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,454,1,34,2022-03-08,0.56,27,223,4,
120116,Valarosa,604999,Bobbi,Belize,Belize Islands,17.73644,-88.02858,Entire home/apt,139,2,55,2022-02-22,0.74,27,26,6,
124794,Sabal Beach - secluded eco-retreat,562206,David & Wayne,Toledo,Toledo Mainland,16.28752,-88.5455,Entire home/apt,232,3,18,2020-01-12,0.14,2,48,0,
152512,"Stunning one br apt-kitchen, air con, bikes & pool",733857,Jacqueline,Stann Creek,Stann Creek Mainland,16.52644,-88.37,Entire home/apt,166,5,67,2022-03-16,0.53,5,253,3,
152922,rent a private room in a house,735525,Jennifer,Cayo,Cayo,17.25395,-88.7687,Private room,52,1,11,2019-12-14,0.15,1,364,0,
171294,King Deluxe,817242,Michael,Cayo,Cayo,17.16261,-89.06995,Private room,280,1,40,2020-02-03,0.41,11,355,0,
171301,Cabana in a Rainforest Setting,817242,Michael,Cayo,Cayo,17.16368,-89.07051,Entire home/apt,197,1,95,2022-03-06,0.97,11,218,8,
179190,Caribbean Beach Cabana #7 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,187,1,111,2022-02-22,0.87,14,293,1,
182596,Caribbean Beach Cabana #6 @ Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,187,1,145,2021-11-18,1.16,14,310,3,
182610,Ocean View Caribbean Cabana #5 @ Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,187,1,133,2022-03-06,1.09,14,47,7,
183285,Caribbean Beach Cabana #8 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,187,1,47,2020-02-29,0.37,14,306,0,
183332,Beachfront Suite at Colinda Cabanas #1,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,406,1,9,2022-02-01,0.07,14,250,4,
215095,"Private & serene:walk to beach, lagoon/sunset view",1110584,Holly,Stann Creek,Stann Creek Mainland,16.57672,-88.36583,Entire home/apt,401,2,12,2022-02-27,0.10,1,328,4,
238685,Beachfront Suite at Colinda Cabanas #2,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,406,1,9,2022-03-10,0.08,14,248,1,
245523,Beachfront Suite at Colinda Cabanas #3,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,350,1,16,2021-11-20,0.13,14,316,5,
254291,Finca Placencia oceanfront Private Beach House,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53023,-88.36103,Entire home/apt,222,1,117,2022-03-26,0.98,3,285,13,
261882,Finca Placencia oceanfront private BeachCabana,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53005,-88.36139,Entire home/apt,162,1,160,2022-03-16,1.30,3,329,9,
308361,Villa San Juan,1586187,Jorge Omar,Cayo,Cayo,17.25812,-88.77895,Private room,210,1,5,2021-09-13,0.06,1,365,1,
332447,Cabana #4 (Hobbit House) at Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Entire home/apt,218,1,100,2022-01-12,0.83,14,320,1,
419134,AQUA Cabana + Air Conditioning & screened patio,2084006,Lower Dover,Cayo,Cayo,17.20777,-88.9461,Private room,101,1,21,2020-03-04,0.21,4,0,0,
580189,Howler House: A romantic riverside treehouse,190152663,Shanna,Belize,Belize Mainland,17.57301,-88.39663,Entire home/apt,181,1,147,2022-03-15,1.32,1,244,14,
591211,Casa Belize - Cozy Studio Apartment,2917510,Carolyn,Belize,Belize Mainland,17.50955,-88.22414,Entire home/apt,161,2,25,2021-07-18,0.23,6,358,2,
597282,Sunny Cabana in Tropical Yard,157752,Monique,Belize,Belize Islands,17.73747,-88.02736,Entire home/apt,121,3,194,2022-03-22,1.73,4,279,19,
601962,"Stunning, two bed/two bath- air con, bikes & pool",733857,Jacqueline,Stann Creek,Stann Creek Mainland,16.52545,-88.37077,Entire home/apt,296,14,49,2020-03-18,0.45,5,91,0,
736308,Waterfront Casita! We are Gold Standard Certified!,3843219,Pernell,Corozal,Corozal,18.32931,-88.32932,Entire home/apt,341,1,38,2021-12-09,0.38,1,363,1,
788130,Home Away From Home Desirable Area,2917510,Carolyn,Belize,Belize Mainland,17.51132,-88.22517,Entire home/apt,363,1,60,2022-03-26,0.72,6,158,8,
819238,Ocean View Suite #9 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73653,-88.02639,Entire home/apt,281,1,10,2021-11-22,0.10,14,292,1,
819686,Oceanview Suite #10 - Colinda Cabanas,857431,Colinda,Belize,Belize Islands,17.73577,-88.02667,Entire home/apt,243,1,10,2020-03-01,0.09,14,301,0,
985520,Comfy Cabana Tropical Caye Caulker,2267459,Tropical Dreams,Belize,Belize Islands,17.74074,-88.02704,Entire home/apt,180,2,201,2022-03-24,2.01,4,277,43,
1051976,Casa Fabro Vacation Rental Gold Standard,5792357,Teresita,Belize,Belize Mainland,17.4908,-88.18589,Entire home/apt,171,2,70,2022-03-23,0.79,1,264,23,
1111731,"Sail Belize on Doris, a 50ft Lagoon 500 Catamaran",6101757,Clifford,Belize,Belize Mainland,17.47288,-88.24754,Entire home/apt,3679,4,0,,,4,364,0,
1134575,"Bay Breezes apt #2, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,67,1,170,2022-03-14,1.60,12,353,8,
1134718,"Bay Breezes apt #1, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,121,2020-03-14,1.15,12,270,0,
1135021,"Bay Breezes apt #3, Caye Caulker",911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,79,1,157,2022-03-06,1.45,12,365,2,
